,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
006,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
007,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
008,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
009,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
010,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
011,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
012,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
013,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
014,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
015,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
016,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
017,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
018,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
019,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
020,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
021,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
022,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
023,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
024,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
025,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
026,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
027,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
028,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
029,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
030,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
031,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
032,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
033,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
034,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
035,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
036,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
037,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
038,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
039,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
040,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
041,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
042,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
043,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
044,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
045,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
046,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
047,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
048,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
049,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
050,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
