,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
314,-18.0,-16.0,-7.0,-9.0,-10.0,-3.0,-9.0,-2.0,-8.0,-9.0
315,-18.0,-13.0,-10.0,-9.0,-9.0,-8.0,-15.0,-5.0,-11.0,-9.0
316,-16.0,-15.0,-7.0,-7.0,-8.0,-8.0,-14.0,-3.0,-9.0,-9.0
317,-20.0,-14.0,-13.0,-11.0,-10.0,-11.0,-16.0,-7.0,-11.0,-11.0
318,-18.0,-13.0,-9.0,-7.0,-7.0,-8.0,-13.0,-4.0,-8.0,-10.0
319,-19.0,-15.0,-11.0,-8.0,-9.0,-8.0,-15.0,-6.0,-12.0,-10.0
320,-18.0,-18.0,-7.0,-9.0,-9.0,-6.0,-11.0,-3.0,-10.0,-9.0
321,-20.0,-14.0,-8.0,-5.0,-4.0,-8.0,-13.0,-4.0,-11.0,-8.0
322,-19.0,-15.0,-13.0,-10.0,-9.0,-9.0,-14.0,-7.0,-10.0,-9.0
323,-21.0,-14.0,-14.0,-10.0,-8.0,-8.0,-13.0,-8.0,-12.0,-9.0
324,-18.0,-15.0,-13.0,-10.0,-9.0,-13.0,-11.0,-7.0,-12.0,-10.0
325,-18.0,-16.0,-10.0,-10.0,-9.0,-9.0,-13.0,-5.0,-11.0,-8.0
326,-17.0,-16.0,-10.0,-9.0,-8.0,-8.0,-14.0,-5.0,-11.0,-10.0
327,-21.0,-14.0,-13.0,-10.0,-7.0,-10.0,-17.0,-7.0,-12.0,-11.0
328,-20.0,-17.0,-11.0,-10.0,-8.0,-9.0,-15.0,-7.0,-11.0,-11.0
329,-20.0,-17.0,-13.0,-10.0,-10.0,-9.0,-17.0,-8.0,-13.0,-11.0
330,-17.0,-13.0,-9.0,-10.0,-9.0,-4.0,-11.0,-5.0,-12.0,-10.0
331,-23.0,-17.0,-13.0,-11.0,-10.0,-10.0,-15.0,-9.0,-15.0,-12.0
332,-20.0,-16.0,-12.0,-10.0,-9.0,-8.0,-14.0,-7.0,-11.0,-10.0
333,-22.0,-10.0,-13.0,-12.0,-9.0,-7.0,-12.0,-7.0,-11.0,-9.0
334,-19.0,-15.0,-12.0,-11.0,-10.0,-8.0,-13.0,-7.0,-12.0,-10.0
335,-20.0,-16.0,-11.0,-11.0,-9.0,-8.0,-14.0,-6.0,-11.0,-11.0
336,-18.0,-16.0,-9.0,-10.0,-9.0,-7.0,-14.0,-4.0,-11.0,-10.0
337,-21.0,-17.0,-14.0,-13.0,-10.0,-12.0,-16.0,-8.0,-13.0,-13.0
338,-20.0,-16.0,-12.0,-10.0,-9.0,-9.0,-14.0,-7.0,-10.0,-12.0
339,-20.0,-16.0,-13.0,-10.0,-9.0,-9.0,-15.0,-7.0,-11.0,-12.0
340,-17.0,-16.0,-9.0,-9.0,-9.0,-7.0,-13.0,-4.0,-11.0,-10.0
341,-19.0,-14.0,-10.0,-7.0,-8.0,-9.0,-14.0,-6.0,-12.0,-9.0
