,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
370,4.5,10.5,6.5,14.5,15.5,0.5,5.5,9.5,17.5,13.5
371,2.5,9.5,4.5,14.5,14.5,-2.5,3.5,7.5,15.5,13.5
372,3.5,11.5,4.5,15.5,16.5,-1.5,4.5,7.5,15.5,14.5
373,1.5,12.5,2.5,13.5,14.5,-1.5,4.5,6.5,15.5,14.5
374,3.5,9.5,4.5,14.5,14.5,-2.5,5.5,7.5,16.5,14.5
375,4.5,9.5,7.5,14.5,14.5,-0.5,7.5,9.5,17.5,15.5
376,5.5,9.5,7.5,14.5,15.5,-0.5,4.5,9.5,18.5,14.5
377,4.5,11.5,4.5,13.5,13.5,-1.5,4.5,8.5,18.5,13.5
378,3.5,11.5,5.5,14.5,15.5,-1.5,5.5,8.5,17.5,12.5
379,3.5,10.5,4.5,14.5,14.5,-1.5,3.5,7.5,16.5,13.5
380,3.5,8.5,7.5,15.5,15.5,0.5,5.5,9.5,16.5,11.5
381,2.5,11.5,4.5,15.5,14.5,-2.5,3.5,5.5,15.5,13.5
382,3.5,10.5,4.5,15.5,14.5,-1.5,5.5,6.5,17.5,13.5
383,0.5,10.5,1.5,13.5,13.5,-2.5,1.5,3.5,14.5,11.5
384,4.5,9.5,5.5,13.5,12.5,-0.5,5.5,7.5,18.5,14.5
385,4.5,9.5,6.5,14.5,13.5,-0.5,5.5,7.5,17.5,13.5
386,3.5,8.5,5.5,14.5,15.5,-0.5,4.5,7.5,16.5,13.5
387,2.5,10.5,3.5,13.5,13.5,-3.5,2.5,6.5,16.5,12.5
388,5.5,10.5,7.5,16.5,15.5,-0.5,5.5,8.5,20.5,12.5
389,5.5,12.5,6.5,17.5,15.5,0.5,5.5,7.5,17.5,13.5
390,5.5,11.5,7.5,17.5,16.5,1.5,6.5,10.5,15.5,13.5
391,1.5,10.5,3.5,14.5,13.5,-3.5,3.5,4.5,13.5,13.5
