,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
151,-6.0,-4.0,-2.5,4.0,1.5,-1.0,1.5,2.5,3.0,1.5
152,-5.0,-3.5,-2.0,5.0,2.5,-2.0,1.5,4.0,3.5,2.5
153,-5.5,-2.0,-3.0,4.5,2.5,-3.0,1.0,2.0,3.5,2.0
154,-5.0,-3.0,-1.5,4.5,1.5,-2.0,1.0,4.5,4.0,1.5
155,-5.5,-3.5,-2.5,5.0,2.0,-2.0,1.0,3.5,4.0,1.0
156,-5.0,-3.0,-2.5,4.5,1.5,-3.0,0.5,3.5,4.0,2.0
157,-6.0,-4.0,-3.5,3.5,1.0,-3.0,0.0,3.0,3.0,1.0
158,-5.5,-3.0,-1.5,4.5,2.0,-2.5,0.5,3.5,3.5,1.0
159,-6.0,-3.5,-3.0,3.0,1.0,-3.5,0.5,3.0,2.5,0.0
160,-5.0,-3.5,-2.0,4.5,1.5,-2.5,2.5,4.5,4.0,1.5
161,-6.0,-4.0,-2.5,4.0,0.5,-2.5,1.5,3.5,2.5,1.5
162,-5.5,-3.0,-2.0,3.0,2.0,-3.0,0.5,4.0,4.5,3.0
163,-6.0,-4.0,-3.5,4.0,1.0,-3.0,1.0,3.0,2.0,1.0
164,-5.0,-3.5,-2.0,5.0,0.0,-2.0,1.5,4.5,2.5,0.5
165,-5.5,-3.5,-3.5,3.5,0.5,-2.0,0.0,4.0,4.0,1.0
166,-5.5,-3.5,-3.5,4.5,0.0,-3.0,0.5,4.0,3.5,0.0
167,-5.0,-3.5,-4.0,4.0,0.0,-3.5,0.0,4.0,3.0,0.0
168,-4.0,-2.0,-2.0,4.5,1.5,-2.5,2.0,4.0,4.0,2.0
169,-6.0,-3.5,-4.5,1.0,-2.0,-3.5,-1.0,2.0,1.0,0.5
170,-4.5,-4.0,-3.0,4.0,0.5,-3.0,0.0,5.5,4.5,0.0
171,-5.5,-3.0,-3.5,3.5,1.0,-3.5,0.5,4.5,4.0,0.5
172,-5.5,-4.0,-3.0,4.0,1.0,-3.0,0.0,5.0,3.5,0.5
173,-6.0,-3.5,-3.5,4.0,1.0,-4.5,-1.0,3.0,2.5,0.0
174,-5.5,-3.5,-2.5,3.5,1.0,-3.0,-0.5,5.0,4.0,0.5
175,-5.0,-4.0,-2.5,4.0,1.0,-2.0,0.0,4.0,4.0,1.0
176,-4.5,-2.5,-2.0,5.5,1.0,-1.5,0.5,4.5,5.0,1.5
177,-6.5,-3.5,-5.0,3.5,-0.5,-4.0,-2.0,2.5,4.5,0.5
178,-6.0,-3.5,-2.5,4.5,1.0,-3.0,-1.0,4.0,3.5,0.0
179,-6.5,-4.0,-3.5,3.0,0.0,-4.0,-1.0,3.0,2.0,-1.0
180,-5.5,-5.0,-7.0,0.5,2.0,-3.5,-2.0,4.0,5.0,0.0
181,-6.5,-3.5,-1.5,3.5,1.5,-2.5,1.0,3.5,2.5,0.5
182,-6.0,-3.0,-1.0,4.5,2.5,-1.5,1.0,4.0,3.0,1.5
183,-6.5,-3.0,-2.0,5.0,2.0,-3.0,0.0,3.0,2.5,0.5
184,-5.0,-3.0,0.5,5.5,1.5,-1.0,0.5,4.5,3.5,2.0
185,-5.5,-3.0,-0.5,5.0,2.5,-1.0,0.5,4.5,4.0,1.5
186,-5.0,-3.0,-1.5,4.5,2.0,-1.5,0.0,4.5,4.5,1.0
187,-4.5,-2.5,-2.0,5.5,1.5,-2.5,-0.5,3.0,4.0,0.5
188,-6.0,-2.0,-1.0,5.0,1.0,-2.0,1.0,3.0,3.5,0.0
189,-5.5,-2.0,-2.0,3.5,1.0,-2.5,1.0,3.5,3.5,0.0
190,-5.0,-4.0,-2.0,2.5,1.5,-2.0,1.5,5.0,3.0,-2.0
191,-6.0,-3.5,-2.0,3.5,1.5,-2.5,1.5,3.5,2.0,-0.5
192,-4.5,-3.0,-3.5,3.0,2.0,-2.0,1.5,3.0,2.5,2.0
193,-5.5,-3.0,-3.0,4.5,1.5,-1.5,1.0,2.5,2.0,-1.0
194,-4.5,-3.0,-1.0,4.0,1.5,-1.0,1.5,5.0,3.5,0.0
195,-5.5,-3.5,-3.0,3.0,2.0,-1.5,1.5,4.0,3.5,-0.5
196,-4.0,-2.5,-3.0,4.5,1.0,-0.5,1.5,4.0,5.0,0.0
197,-6.5,-4.5,-4.5,3.0,0.0,-2.5,0.0,3.5,2.5,-1.5
198,-6.0,-2.5,-2.5,3.5,1.0,-1.0,2.0,3.5,3.0,-1.0
199,-6.0,-3.0,-4.0,2.0,0.0,-1.5,2.5,3.0,1.5,-3.0
200,-5.5,-4.0,-3.0,2.5,0.5,-0.5,2.0,3.5,2.5,0.0
201,-7.5,-4.0,-3.5,3.0,0.5,-1.5,1.5,3.0,1.5,0.5
202,-7.0,-4.0,-3.0,3.0,1.0,-0.5,1.5,3.5,2.5,1.0
203,-6.5,-3.5,-3.5,4.0,1.5,-1.5,1.0,2.5,3.0,0.0
204,-6.0,-4.0,-2.0,4.0,1.0,-1.0,1.5,3.5,3.0,1.5
205,-6.5,-4.5,-3.0,4.0,1.5,-0.5,1.0,3.0,3.5,0.5
206,-6.0,-3.0,-1.5,4.0,0.0,0.5,0.5,3.5,3.0,1.0
207,-7.0,-4.0,-5.0,3.0,0.5,-2.5,0.0,2.5,3.5,0.0
208,-7.0,-3.5,-2.5,4.5,0.5,-1.0,1.0,2.0,3.0,0.5
