,cat
411,15.5
412,16.25
413,16.0
414,15.75
415,17.0
416,14.75
417,16.0
418,15.5
419,18.25
420,19.75
421,17.25
422,17.75
423,17.75
424,17.75
425,18.75
426,17.5
427,17.75
428,17.0
429,19.25
430,15.25
431,16.0
432,15.75
433,15.75
434,16.25
435,17.25
436,15.75
437,16.5
438,15.75
439,16.75
440,16.5
441,18.75
442,18.0
443,18.0
444,17.75
445,19.0
446,17.0
447,17.75
448,16.25
449,17.75
450,16.75
451,18.0
452,18.0
453,18.5
454,18.75
455,19.5
456,18.5
457,18.25
458,17.75
459,18.5
460,14.0
461,16.25
462,18.25
463,16.0
464,15.75
465,16.5
466,16.5
467,15.75
468,15.5
469,16.5
470,12.5
471,12.75
472,13.75
473,12.75
474,13.0
475,14.25
476,13.5
477,13.5
478,13.5
479,13.5
480,14.25
481,15.25
482,15.75
483,15.5
484,15.25
485,16.5
486,15.75
487,15.5
488,14.25
489,15.25
490,13.75
491,15.25
492,14.25
493,15.0
494,14.25
495,16.25
496,14.5
497,14.5
498,14.0
499,15.5
500,20.75
501,21.0
502,20.5
503,22.75
504,20.25
505,21.5
506,20.5
507,20.75
508,20.25
509,21.5
510,19.75
511,20.25
512,19.75
513,21.0
514,21.25
515,21.75
516,20.0
517,18.75
518,20.0
519,22.75
520,18.75
521,20.25
522,20.75
523,22.0
524,20.75
525,21.25
526,21.0
527,20.5
528,20.0
529,21.5
530,21.0
531,22.0
532,21.25
533,22.5
534,21.75
535,21.75
536,22.0
537,22.0
538,22.0
539,22.25
540,17.5
541,19.5
542,19.25
543,19.25
544,18.75
545,19.75
546,19.25
547,18.0
548,18.0
549,19.25
550,23.0
551,23.25
552,24.0
553,22.5
554,21.75
555,22.75
556,22.5
557,22.0
558,20.0
559,22.5
560,19.5
561,19.0
562,20.0
563,19.25
564,18.75
565,20.5
566,19.0
567,19.0
568,19.25
569,20.25
570,17.0
571,19.5
572,19.25
573,20.5
574,18.75
575,20.0
576,19.5
577,17.0
578,18.75
579,20.75
580,18.25
581,19.75
582,20.75
583,20.25
584,17.5
585,20.25
586,19.75
587,19.75
588,17.0
589,19.75
590,17.0
591,19.25
592,19.75
593,19.5
594,19.5
595,21.0
596,22.5
597,19.75
598,17.25
599,19.5
600,20.0
601,20.5
602,22.25
603,21.25
604,20.5
605,20.75
606,19.75
607,21.0
608,19.5
609,20.25
610,18.75
611,19.25
612,19.25
613,18.75
614,18.75
615,18.0
616,18.25
617,16.0
618,18.25
619,18.5
620,18.0
621,19.25
622,18.75
623,19.0
624,17.75
625,18.25
626,18.25
627,16.5
628,17.5
629,18.5
630,17.75
631,18.75
632,18.0
633,18.0
634,17.75
635,18.25
636,17.75
637,17.75
638,17.0
639,19.25
640,17.75
641,18.5
642,18.25
643,17.75
644,17.0
645,17.5
646,18.0
647,15.25
648,16.25
649,18.0
650,17.5
651,17.75
652,18.0
653,16.25
654,17.5
655,18.25
656,17.75
657,15.75
658,17.75
659,18.25
660,14.25
661,17.5
662,17.0
663,17.5
664,16.25
665,17.5
666,17.0
667,14.25
668,16.0
669,17.0
670,16.0
671,18.5
