,cat
776,-0.0108642578125
777,-0.01031494140625
778,-0.01025390625
779,-0.01043701171875
780,-0.01031494140625
781,-0.01153564453125
782,-0.011474609375
783,-0.010986328125
784,-0.0111083984375
785,-0.0107421875
786,-0.01080322265625
787,-0.01025390625
788,-0.01025390625
789,-0.0103759765625
790,-0.01043701171875
791,-0.01165771484375
792,-0.01165771484375
793,-0.0111083984375
794,-0.01129150390625
795,-0.0108642578125
796,-0.01092529296875
797,-0.01043701171875
798,-0.0103759765625
799,-0.010498046875
800,-0.0103759765625
801,-0.01153564453125
802,-0.01153564453125
803,-0.010986328125
804,-0.01116943359375
805,-0.01080322265625
806,-0.0108642578125
807,-0.01031494140625
808,-0.01025390625
809,-0.01043701171875
810,-0.01153564453125
811,-0.01275634765625
812,-0.01275634765625
813,-0.01220703125
814,-0.01239013671875
815,-0.011962890625
816,-0.01202392578125
817,-0.01153564453125
818,-0.011474609375
819,-0.0115966796875
820,-0.01153564453125
821,-0.01275634765625
822,-0.0126953125
823,-0.01220703125
824,-0.0123291015625
825,-0.011962890625
826,-0.01202392578125
827,-0.011474609375
828,-0.011474609375
829,-0.0115966796875
830,-0.010986328125
831,-0.01220703125
832,-0.01220703125
833,-0.01165771484375
834,-0.0118408203125
835,-0.01141357421875
836,-0.011474609375
837,-0.010986328125
838,-0.01092529296875
839,-0.01104736328125
840,-0.01116943359375
841,-0.01239013671875
842,-0.0123291015625
843,-0.0118408203125
844,-0.011962890625
845,-0.0115966796875
846,-0.01165771484375
847,-0.0111083984375
848,-0.0111083984375
849,-0.01123046875
850,-0.01080322265625
851,-0.011962890625
852,-0.011962890625
853,-0.01141357421875
854,-0.0115966796875
855,-0.01123046875
856,-0.01129150390625
857,-0.0107421875
858,-0.01068115234375
859,-0.0108642578125
860,-0.0108642578125
861,-0.01202392578125
862,-0.01202392578125
863,-0.011474609375
864,-0.01165771484375
865,-0.01129150390625
866,-0.0113525390625
867,-0.01080322265625
868,-0.0107421875
869,-0.01092529296875
870,-0.01031494140625
871,-0.01153564453125
872,-0.011474609375
873,-0.010986328125
874,-0.0111083984375
875,-0.0107421875
876,-0.01080322265625
877,-0.01025390625
878,-0.01025390625
879,-0.0103759765625
880,-0.01025390625
881,-0.011474609375
882,-0.011474609375
883,-0.01092529296875
884,-0.0111083984375
885,-0.01068115234375
886,-0.0107421875
887,-0.01025390625
888,-0.01019287109375
889,-0.01031494140625
890,-0.01043701171875
891,-0.0115966796875
892,-0.0115966796875
893,-0.01104736328125
894,-0.01123046875
895,-0.0108642578125
896,-0.01092529296875
897,-0.0103759765625
898,-0.01031494140625
899,-0.010498046875
900,-0.010498046875
901,-0.01171875
902,-0.01165771484375
903,-0.01116943359375
904,-0.01129150390625
905,-0.01092529296875
906,-0.010986328125
907,-0.01043701171875
908,-0.01043701171875
909,-0.01055908203125
