,cat
153,-10.0
154,-8.75
155,-6.75
156,-8.0
157,-7.25
158,-8.0
159,-7.0
160,-9.0
161,-8.5
162,-8.25
163,-10.0
164,-9.5
165,-7.25
166,-10.0
167,-8.5
168,-7.5
169,-3.75
170,-8.0
171,-7.25
172,-6.5
173,-7.25
174,-8.5
175,-8.0
176,-9.5
177,-9.25
178,-7.25
179,-9.0
180,-8.25
181,-8.0
182,-7.25
183,-7.5
184,-6.5
185,-8.0
186,-8.5
187,-6.75
188,-9.25
189,-7.75
190,-8.25
191,-8.5
192,-8.25
193,-7.0
194,-8.25
195,-6.5
196,-10.0
197,-9.25
198,-8.25
199,-7.0
200,-7.75
201,-6.0
202,-6.0
203,-5.5
204,-6.75
205,-6.0
206,-8.75
207,-7.25
208,-7.25
209,-7.0
210,-6.5
211,-7.0
212,-8.75
213,-4.5
214,-8.25
215,-6.75
216,-8.5
217,-7.75
218,-8.5
219,-5.5
220,-5.75
221,-4.75
222,-3.5
223,-5.5
224,-6.75
225,-7.25
226,-8.5
227,-6.0
228,-7.75
229,-8.25
230,-6.0
231,-5.75
232,-5.75
233,-5.0
234,-5.75
235,-6.25
236,-9.25
237,-8.75
238,-7.75
239,-8.0
240,-6.75
241,-8.75
242,-7.5
243,-7.5
244,-7.75
245,-6.0
246,-6.75
247,-5.0
248,-7.75
249,-8.0
250,-8.0
251,-6.5
252,-7.25
253,-6.0
254,-8.0
255,-3.75
256,-7.5
257,-6.75
258,-7.25
259,-7.75
260,-7.5
261,-7.5
262,-8.75
263,-7.25
264,-8.75
265,-6.25
266,-7.75
267,-7.25
268,-7.75
269,-6.75
270,-7.5
271,-7.0
272,-7.25
273,-6.75
274,-7.75
275,-5.25
276,-7.75
277,-6.75
278,-7.0
279,-7.25
280,-6.5
281,-7.0
282,-8.0
283,-8.0
284,-8.0
285,-7.0
286,-5.5
287,-6.75
288,-8.5
289,-7.25
290,-8.0
291,-6.25
292,-9.0
293,-7.5
294,-9.25
295,-7.25
296,-8.75
297,-7.0
298,-8.5
299,-7.75
300,-8.75
301,-5.5
302,-5.25
303,-5.75
304,-5.0
305,-9.0
306,-8.0
307,-6.5
308,-5.25
309,-6.0
310,-5.25
311,-3.25
312,-6.75
313,-4.5
314,-8.75
315,-4.0
316,-7.25
317,-7.25
318,-6.75
319,-6.75
320,-7.0
321,-5.5
322,-6.75
323,-6.0
324,-6.5
325,-6.75
326,-7.75
327,-6.0
328,-8.5
329,-7.25
330,-5.75
331,-5.5
332,-6.25
333,-3.5
334,-6.75
335,-5.5
336,-8.0
337,-6.5
338,-6.0
339,-6.25
340,-7.75
341,-7.0
342,-6.75
343,-7.75
344,-8.25
345,-4.75
346,-7.5
347,-7.75
348,-7.5
349,-8.0
350,-9.0
351,-6.0
352,-6.75
353,-7.5
354,-7.75
355,-8.5
356,-5.75
357,-4.75
358,-7.0
359,-7.75
360,-5.25
361,-5.75
362,-8.25
363,-7.0
364,-4.25
365,-6.0
366,-8.0
367,-8.0
368,-7.0
369,-3.5
370,-10.5
371,-7.75
372,-8.0
373,-8.0
374,-8.5
375,-6.75
376,-9.25
377,-8.75
378,-7.5
379,-9.0
380,-6.5
381,-6.75
382,-7.5
383,-8.0
384,-7.25
385,-4.25
386,-4.5
387,-8.0
388,-8.25
389,-7.5
390,-7.5
391,-5.75
392,-8.25
393,-8.0
394,-9.0
395,-6.75
396,-8.5
397,-8.5
398,-7.75
399,-5.75
400,-8.25
401,-6.0
402,-6.25
403,-6.5
404,-3.75
405,-4.75
406,-8.5
407,-8.0
408,-6.5
409,-6.5
410,-7.5
411,-6.75
412,-8.0
413,-6.25
414,-7.25
415,-7.5
416,-8.75
417,-3.0
418,-7.5
419,-7.0
420,-2.25
421,-7.5
422,-6.5
423,-4.25
424,-6.5
425,-6.5
426,-8.0
427,-7.75
428,-7.0
429,-5.25
430,-7.0
431,-6.75
432,-12.25
433,-6.75
434,-7.0
435,-6.5
436,-9.25
437,-8.75
438,-8.0
439,-7.5
440,-6.5
441,-5.5
442,-5.75
443,-5.75
444,-4.75
445,-7.0
446,-8.75
447,-8.0
448,-6.0
449,-7.25
450,-6.75
451,-2.25
452,-8.75
453,-7.0
454,-5.75
455,-6.75
