,cat
251,-2.0
252,-2.75
253,-1.5
254,-3.5
255,0.75
256,-3.0
257,-2.25
258,-2.75
259,-3.25
260,-3.0
261,-3.0
262,-4.25
263,-2.75
264,-4.25
265,-1.75
266,-3.25
267,-2.75
268,-3.25
269,-2.25
270,-3.0
271,-2.5
272,-2.75
273,-2.25
274,-3.25
275,-0.75
276,-3.25
277,-2.25
278,-2.5
279,-2.75
280,-2.0
281,-2.5
282,-3.5
283,-3.5
284,-3.5
285,-2.5
286,-1.0
287,-2.25
288,-4.0
289,-2.75
290,-3.5
291,-1.75
292,-4.5
293,-3.0
294,-4.75
295,-2.75
296,-4.25
297,-2.5
298,-4.0
299,-3.25
300,-4.25
301,-1.0
302,-0.75
303,-1.25
304,-0.5
305,-4.5
306,-3.5
307,-2.0
308,-0.75
309,-1.5
310,-0.75
311,1.25
312,-2.25
313,0.0
314,-4.25
315,0.5
316,-2.75
317,-2.75
318,-2.25
319,-2.25
320,-2.5
321,-1.0
322,-2.25
323,-1.5
324,-2.0
325,-2.25
326,-3.25
327,-1.5
328,-4.0
329,-2.75
330,-1.25
331,-1.0
332,-1.75
333,1.0
334,-2.25
335,-1.0
336,-3.5
337,-2.0
338,-1.5
339,-1.75
340,-3.25
341,-2.5
342,-2.25
343,-3.25
344,-3.75
345,-0.25
346,-3.0
347,-3.25
348,-3.0
349,-3.5
350,-4.5
351,-1.5
352,-2.25
353,-3.0
354,-3.25
355,-4.0
356,-1.25
357,-0.25
358,-2.5
359,-3.25
360,-0.75
361,-1.25
362,-3.75
363,-2.5
364,0.25
365,-1.5
366,-3.5
367,-3.5
368,-2.5
369,1.0
370,-6.0
371,-3.25
372,-3.5
373,-3.5
374,-4.0
375,-2.25
376,-4.75
377,-4.25
378,-3.0
379,-4.5
380,-2.0
381,-2.25
382,-3.0
383,-3.5
384,-2.75
385,0.25
386,0.0
387,-3.5
388,-3.75
389,-3.0
390,-3.0
391,-1.25
392,-3.75
393,-3.5
394,-4.5
395,-2.25
396,-4.0
397,-4.0
398,-3.25
399,-1.25
400,-3.75
401,-1.5
402,-1.75
403,-2.0
404,0.75
405,-0.25
406,-4.0
407,-3.5
408,-2.0
409,-2.0
410,-3.0
411,-2.25
412,-3.5
413,-1.75
414,-2.75
415,-3.0
416,-4.25
417,1.5
418,-3.0
419,-2.5
420,2.25
421,-3.0
422,-2.0
423,0.25
424,-2.0
425,-2.0
426,-3.5
427,-3.25
428,-2.5
429,-0.75
430,-2.5
431,-2.25
432,-7.75
433,-2.25
434,-2.5
435,-2.0
436,-4.75
437,-4.25
438,-3.5
439,-3.0
440,-2.0
441,-1.0
442,-1.25
443,-1.25
444,-0.25
445,-2.5
446,-4.25
447,-3.5
448,-1.5
449,-2.75
450,-2.25
451,2.25
452,-4.25
453,-2.5
454,-1.25
455,-2.25
456,-2.75
457,-2.75
458,-2.5
459,-3.25
460,-4.75
461,-4.5
462,-3.5
463,-4.25
464,-4.25
465,-3.25
466,-6.0
467,-4.25
468,-3.0
469,-3.25
470,-3.5
471,-2.25
472,-3.75
473,-3.75
474,-1.75
475,-2.75
476,-3.5
477,-3.5
478,-2.5
479,-3.75
480,-2.5
481,-3.25
482,-3.5
483,-3.5
484,-2.5
485,-2.5
486,-1.5
487,-4.25
488,-3.75
489,-3.75
490,-4.0
491,-3.75
492,-4.5
493,-3.75
494,-4.5
495,-1.0
496,-4.25
497,-5.25
498,-3.25
499,-3.75
500,-3.0
501,-1.25
502,-3.0
503,-2.75
504,-3.25
505,-1.0
506,-3.0
507,-1.75
508,-2.25
509,-2.25
510,0.5
511,-1.5
512,-2.5
513,0.25
514,-3.75
515,0.25
516,-1.5
517,-4.0
518,0.25
519,0.0
520,-3.5
521,-1.5
522,-2.25
523,-1.75
524,-2.0
525,0.5
526,-3.25
527,-1.25
528,-6.5
529,-2.75
530,-2.5
531,-1.0
532,-2.5
533,-2.75
534,-3.0
535,-2.0
536,-4.0
537,-3.25
538,-0.75
539,-2.5
540,-3.5
541,-3.5
542,-3.0
543,-3.25
544,-4.75
545,-2.5
546,-4.25
547,-4.25
548,-3.5
549,-4.5
550,-2.5
551,-1.5
552,-2.25
553,-2.0
554,-3.25
555,0.25
556,-2.75
557,-3.5
558,-3.25
559,-3.75
560,-4.25
561,-2.75
562,-3.75
563,-3.75
564,-4.5
565,-2.5
566,-4.25
567,-2.5
568,-3.0
569,-3.75
570,-3.25
571,-2.75
572,-3.75
573,-3.25
574,-3.5
575,-2.0
576,-2.0
577,-0.5
578,-2.0
579,-3.5
580,-3.25
581,-2.5
582,-2.25
583,-3.5
584,-3.5
585,-0.25
586,-0.25
587,-4.0
588,-4.25
589,-3.5
590,-4.0
591,-2.5
592,-4.5
593,-3.0
594,-4.5
595,-3.25
596,-4.25
597,-3.75
598,-3.5
599,-3.5
600,-4.5
601,-4.0
602,-4.5
603,-3.0
604,-5.25
605,-3.0
606,-3.0
607,-4.25
608,-3.0
609,-3.5
610,-4.25
611,-4.25
612,-2.75
613,0.25
614,-3.0
615,-1.5
616,-1.0
617,-3.0
618,-1.25
619,-4.75
620,-4.0
621,-3.25
622,-4.0
623,-3.0
624,-3.0
625,-2.75
626,-3.25
627,-2.75
628,-4.25
629,-5.0
630,-3.5
631,-2.5
632,-3.5
633,-3.0
634,-3.5
635,-2.5
636,-2.75
637,-3.25
638,-4.0
639,-3.5
640,-5.0
641,-5.0
642,-4.25
643,-3.75
644,-3.25
645,-2.25
646,-4.5
647,-5.25
648,-5.25
649,-5.75
650,-4.25
651,-3.25
652,-4.75
653,-3.5
654,-4.5
655,-3.25
656,-4.5
657,-3.25
658,-4.0
659,-5.0
660,-3.75
661,-3.75
662,-3.5
663,-3.5
664,-5.25
665,-2.25
666,-1.25
667,-4.0
668,-3.5
669,-3.5
670,-4.25
671,-4.25
672,-4.25
673,-4.25
674,-4.5
675,-3.5
676,-4.5
677,-4.75
678,-4.25
679,-4.25
680,-4.0
681,-4.25
682,-4.75
683,-4.25
684,-5.0
685,-3.0
686,-2.75
687,-4.5
688,-4.5
689,-5.0
690,-4.75
691,-4.0
692,-5.75
693,-3.5
694,-6.0
695,-4.5
696,-5.0
697,-5.5
698,-4.0
699,-5.25
700,-4.25
701,-3.25
702,-2.5
703,-3.0
704,-3.25
705,-2.0
706,-3.5
707,-3.5
708,-1.5
709,-3.75
710,-4.0
711,-1.25
712,-3.5
713,-2.0
714,-3.5
715,-3.75
716,-3.5
717,-3.25
718,-4.5
719,-4.5
720,-2.5
721,-3.25
722,-3.5
723,-3.0
724,-3.0
725,-2.5
726,-4.75
727,-2.0
728,-3.5
729,-2.0
730,-2.75
731,-0.5
732,-3.75
733,-3.0
734,-3.25
735,-2.75
736,-4.0
737,-1.75
738,-3.5
739,-4.75
740,-4.0
741,-2.5
742,-3.5
743,-3.75
744,-4.5
745,-3.0
746,-5.0
747,-6.75
748,-4.75
749,-5.25
750,-3.75
751,-2.75
752,-3.5
753,-3.0
754,-3.5
755,-0.75
756,-3.75
757,-3.25
758,-3.75
759,-4.0
760,-4.5
761,-4.5
762,-4.5
763,-3.75
764,-4.5
765,-3.25
766,-4.5
767,-4.75
768,-3.5
769,-2.0
770,-4.0
771,-2.75
772,-4.75
773,-3.0
774,-4.25
775,-2.5
776,-5.5
777,0.25
778,-3.25
779,-4.0
780,-2.75
781,-1.25
782,-3.5
783,-3.0
784,-3.25
785,-2.0
786,-1.5
787,-4.75
788,-5.25
789,-2.5
790,-4.75
791,-3.75
792,-4.25
793,-4.5
794,-6.25
795,-3.75
796,-6.25
797,-4.5
798,-0.5
799,-5.25
800,-4.0
801,-2.5
802,-0.5
803,-2.5
804,-2.5
805,-0.5
806,-4.0
807,-2.75
808,-2.5
809,-2.25
810,-3.0
811,-4.25
812,-1.5
813,-1.25
814,-2.5
815,-1.5
816,-2.5
817,-3.5
818,-2.25
819,-1.25
820,-3.5
821,-2.5
822,-2.75
823,-2.5
824,-3.0
825,-0.75
826,-3.0
827,-3.0
828,-3.0
829,-3.5
830,-2.5
831,-3.0
832,-3.0
833,-2.25
834,-2.25
835,-1.75
836,-3.0
837,-2.0
838,-2.5
839,-2.5
840,-3.0
841,-2.25
842,-3.25
843,-2.75
844,-4.0
845,-2.0
846,-3.75
847,-2.5
848,-3.75
849,-3.25
850,-2.75
851,-2.75
852,-3.0
853,-2.5
854,-3.25
855,-2.75
856,-3.75
857,-3.0
858,-5.25
859,-3.25
860,-3.25
861,-2.75
862,-2.5
863,-3.0
864,-3.25
865,-1.75
866,-3.25
867,-1.75
868,-2.0
869,-2.0
870,-2.75
871,-3.25
872,-2.5
873,-2.5
874,-3.25
875,-1.75
876,-2.0
877,-3.5
878,-3.5
879,-2.5
880,-3.75
881,-3.0
882,-2.0
883,-2.5
884,-3.75
885,-2.0
886,-3.25
887,-3.25
888,-3.25
889,-2.75
890,-3.75
891,-3.0
892,-4.25
893,-2.75
894,-3.75
895,-2.0
896,-5.0
897,-4.0
898,-4.0
899,-3.75
900,-3.0
901,-1.5
902,-2.75
903,-1.0
904,-3.25
905,-0.25
906,-2.5
907,-3.0
908,-2.0
909,-1.5
910,-1.0
911,1.25
912,-5.5
913,-0.75
914,-2.5
915,-3.75
916,-3.5
917,-4.25
918,-3.0
919,-3.0
920,-3.0
921,-2.75
922,-1.5
923,-1.75
924,-2.75
925,-0.5
926,-3.25
927,-1.5
928,-2.25
929,-2.5
930,-1.25
931,-1.25
932,-2.75
933,-2.5
934,-3.0
935,-2.0
936,-3.25
937,-4.75
938,-2.0
939,-2.25
940,-3.25
941,-3.25
942,-3.75
943,-2.0
944,-2.0
945,-1.75
946,-4.0
947,-4.5
948,-3.0
949,-2.75
950,-3.0
951,-1.75
952,-2.25
953,-2.5
954,-3.25
955,-1.25
956,-3.5
957,-3.0
958,-2.75
959,-2.25
960,-3.0
961,-4.0
962,-5.5
963,-3.25
964,-4.5
965,-3.25
966,-3.5
967,-4.5
968,-4.25
969,-1.25
970,-3.25
971,-3.5
972,-4.25
973,-2.5
974,-3.5
975,-1.5
976,-4.25
977,-4.5
978,-2.5
979,-2.75
980,-2.75
981,-2.5
982,-4.25
983,-2.75
984,-4.5
985,-1.5
986,-3.5
987,-3.25
988,-2.0
989,-3.75
990,-1.5
991,-0.25
992,-2.5
993,-0.25
994,-2.75
995,-0.75
996,-0.5
997,-2.75
998,-3.0
999,1.0
